Exposure	Estimate	SE	p
IVW	-0.11984363	0.012906919	1.61E-20
WM	-0.112598297	0.014904593	4.20E-14
Egger	-0.098314227	0.027022847	0.000274562
NA1	0	0	0.5
NA2	0	0	0.5
Height	-0.03736553	0.016173109	2.10E-02
Alcohol	-0.09023077	0.079546442	2.57E-01
BirthWeight	-0.06371729	0.043987995	1.48E-01
BMI	0.24172373	0.048185973	5.75E-07
DBP	0.0119024	0.006394775	6.29E-02
EduAttainment	-0.19069028	0.064760091	3.27E-03
LDL	0.22857762	0.034860181	7.06E-11
OverallActivity	-0.05398791	0.037103665	1.46E-01
Smoking	0.17916808	0.042973762	3.19E-05
SBP	0.51256204	0.07778501	5.70E-11
TG	0.13538769	0.031695169	2.04E-05
T2D.Mahajan	0.06307604	0.017321173	2.78E-04
WHR.notAdjBMI	0.07538138	0.039393516	5.58E-02
