Exposure	Estimate	SE	p
Height	-0.03682307	0.016276148	2.38E-02
FEV1	0.06469998	0.077897818	4.06E-01
FVC	-0.06566557	0.075954908	3.87E-01
Alcohol	-0.09292291	0.079695697	2.44E-01
BirthWeight	-0.06225492	0.044116794	1.58E-01
BMI	0.23756248	0.048473969	1.04E-06
DBP	0.01233179	0.006448027	5.60E-02
EduAttainment	-0.190327	0.064827055	3.37E-03
LDL	0.22705964	0.034919138	1.01E-10
OverallActivity	-0.05326465	0.037152216	1.52E-01
Smoking	0.18185568	0.043099965	2.57E-05
SBP	0.50969524	0.078429973	1.03E-10
TG	0.13452238	0.031721554	2.34E-05
T2D.Mahajan	0.06283538	0.017423107	3.18E-04
WHR.notAdjBMI	0.07287114	0.039609976	6.60E-02
