Exposure	Estimate	SE	p
Height	-0.04115009	0.01675262	1.41E-02
FEV1_Neale	0.29900876	0.11815082	1.15E-02
FVC_Neale	-0.22530518	0.10532073	3.25E-02
Alcohol	-0.09493995	0.0794545	2.32E-01
BirthWeight	-0.05526216	0.04405046	2.10E-01
BMI	0.23946582	0.04812631	7.09E-07
DBP	0.01208903	0.00639818	5.90E-02
EduAttain	-0.19163883	0.0646725	3.08E-03
LDL	0.22629514	0.03482909	1.04E-10
OA	-0.05057926	0.03707418	1.73E-01
Smoking	0.1790815	0.04291418	3.14E-05
SBP	0.51311972	0.07774951	5.34E-11
TG	0.13865831	0.03167448	1.27E-05
T2D	0.06469674	0.01731201	1.92E-04
WHR_notAdj	0.07230964	0.03936192	6.64E-02
